job_title,company_name,location,summary,salary
Principal Data Scientist,Intuit,"Mountain View, CA 94041",Intuit’s Innovation and Advanced Technology Group is hiring a Data Scientist to focus on Security and Anti-fraud.,Not Posted
"Data Scientist, Office of Data Science",Liberty Mutual Insurance,"Boston, MA 02101","Demonstrated experience in deep learning, computer vision, natural language processing, and/or interpretable machine learning.","$93,400 - $134,100 a year"
Data Scientist,Northrop Grumman,"San Diego, CA","Data analytics and visualization, statistics.
The candidate applying for this position should be able to work across disciplines and organizations; identifying…",Not Posted
Data Scientist,Quick Base,Anywhere,"Experience with machine learning approaches to problem solving including NLP, Clustering, Decision Trees, Regressions and Neural Networks.",Not Posted
"Biomedical Data Scientist (m/f/d) in Cambridge, MA",CENTOGENE AG,Anywhere,You are responsible for analyzing and mining CENTOGENE’s rare disease data repository that integrates relevant structured and unstructured case data.,Not Posted
Data Scientist,Vertex technological solutions,Anywhere,"7+ years’ practical experience with SAS, ETL, data processing, database programming and data analytics.
Optimize joint development efforts through appropriate…",Not Posted
Data Scientist (Part-time),InsideTracker,Anywhere,"Data Scientist with experience in machine learning (feature selection, model training, model evaluation) and knowledge of statistics.",Not Posted
Data Scientist,Bilin Technology,Anywhere,"Masters or PhD in Computer Science, Engineering or other relevant scientific field.
You will be responsible for the research, design and development of advanced…",Not Posted
Data Scientist,Takeda Pharmaceuticals,Anywhere,Introduce novel and state-of-the-art computational techniques to other teams and scientists to improve capabilities for data analysis with the purpose of…,Not Posted
Data Scientist,Naka Technologies,Anywhere,You are capable of working with engineers to build an actual production system that uses machine learning and artificial intelligence.,Not Posted
Data Scientist (all levels),IAMUS Consulting,Anywhere,"Some knowledge of machine learning concepts a plus, but must be able to do analysis and analytics without ML frameworks.",Not Posted
Data Scientist,"Winston Brands, Inc.-1V9",Anywhere,"Data visualization (e.g., Tableau, Power BI).
Must demonstrate proficiency in at least two of the following four areas:
A high-level programming language.",Not Posted
Data/Machine Learning Engineer - Data Team,Dyno Therapeutics,Anywhere,"The candidate will collaborate with machine learning scientists, computational biologists, and software developers,.
Job Type: Full-time, Internship.",Not Posted
"Data Scientist, Office of Data Science",Liberty Mutual Insurance,"Boston, MA 02101","Demonstrated experience in deep learning, computer vision, natural language processing, and/or interpretable machine learning.","$93,400 - $134,100 a year"
Principal Data Scientist,Intuit,"Mountain View, CA 94041",Intuit’s Innovation and Advanced Technology Group is hiring a Data Scientist to focus on Security and Anti-fraud.,Not Posted
Machine Learning Engineer,Apple,"Seattle, WA","In this highly collaborative role, you will be at the center of multiple efforts to make machine learning an accessible and powerful tool for all developers.",Not Posted
Senior Data Scientist,TRANZACT,"Fort Lee, NJ 07024","Excellent understanding of machine learning techniques and algorithms such as decision forests, logistic regression, k-means clustering, etc.","$90,000 - $125,000 a year"
Data Scientist,ClearOne Advantage,"Baltimore, MD 21224 (Canton Industrial Area area)","We want to see a passion for machine-learning and research.
Build predictive models and machine-learning algorithms.
Combine models through ensemble modeling.","$70,000 - $80,000 a year"
"Analyst II, Data Science",Liberty Mutual Insurance,"Boston, MA 02101","The position requires a Master’s degree, or foreign equivalent, in Statistics, Mathematics, Economics, or another scientific field plus one (1) year of…","$89,700 - $148,800 a year"
Data Scientist,"Metron, Inc.","Reston, VA 20190 (Sunset Hills area)","As a Data Scientist you will be responsible for designing, implementing, and analyzing the results of innovative solutions to clients’ challenging machine…",Not Posted
"Data Scientist, Medical Diagnostics",Specific Diagnostics,"Mountain View, CA 94043","Used for bloodstream infection Specific’s solution provides results 2 days sooner than existing methods, saving patients suffering from drug-resistant infection…",Not Posted
Data Scientist,Triplebyte,Remote,You’ll report directly to Triplebytes' Head of Machine Learning and will work alongside a team of 6-8 machine learning engineers and data scientists.,"$150,000 - $225,000 a year"
Data Scientist,Triplebyte,Remote,You’ll report directly to Triplebytes' Head of Machine Learning and will work alongside a team of 6-8 machine learning engineers and data scientists.,"$150,000 - $225,000 a year"
Data Scientist,"Metron, Inc.","Reston, VA 20190 (Sunset Hills area)","As a Data Scientist you will be responsible for designing, implementing, and analyzing the results of innovative solutions to clients’ challenging machine…",Not Posted
"Data Scientist, Medical Diagnostics",Specific Diagnostics,"Mountain View, CA 94043","The development of data-driven visualization tools for the explorative analysis of high-dimensional data.
Used for bloodstream infection Specific’s solution…",Not Posted
Machine Learning Engineer,Apple,"Seattle, WA","In this highly collaborative role, you will be at the center of multiple efforts to make machine learning an accessible and powerful tool for all developers.",Not Posted
Data Scientist,State of Utah,Anywhere,"A rewarding career opportunity using analytics, deductive reasoning, applied logic, and various communication techniques to inform decision making and meet data…",$27.77 - $46.49 an hour
Data Scientist,Piper Companies,Anywhere,"You will also have the opportunity to innovate with machine learning, computer vision, data visualization, and geospatial data enrichment to enable the rich…","$140,000 - $175,000 a year"
Data Scientist,GLOBAL RISK INTELLIGENCE,Anywhere,"Assessing the effectiveness and accuracy of data sources and data gathering techniques.
Research: Conducting high-quality data research in accordance with…",Not Posted
Student Internship - Data Scientist - Summer 2020,AF Group,Anywhere,"Interns will gain exposure to agents, policyholders, health care providers, claimants, attorney and other AF Group staff and customers, as directed by business…",Not Posted
Data Scientist Intern,HP,Anywhere,Four-year university students who are working in a non-technical internship role during their study or in summer breaks between university semesters.,Not Posted
Data Scientist,Panjiva,Anywhere,"Strong candidates can leverage a wide array of machine learning and statistical techniques at scale, to address challenges with semi-structured and multilingual…",Not Posted
Data Scientist,Source Cloud Technology,Anywhere,"Enhancing data collection procedures to include information that is relevant for building analytic systems.
Extending company’s data with third party sources of…",Not Posted
"Senior Data Scientist – Visualization, Novartis AI Innovation Lab",Novartis,Anywhere,"Three or more years of relevant thought leadership experience in Data Science.
Conduct end-to-end Visualization analysis of large scale healthcare data sets.",Not Posted
Data Scientist/Economist,Burning Glass Technologies,Anywhere,"Apply machine learning and statistical methods on massive job market data sets in various applications.
Manipulating, validating, and analyzing data using SQL,…",Not Posted
